id;name;price;quantity;description
216;Granite;614.15;38;17-010 - Contingency
217;Plastic;141.34;81;11-110 - Commercial Laundry and Dry Cleaning Equipment
218;Stone;458.19;26;5-800 - Expansion Control
219;Wood;286.08;51;2-923 - Seeding and Soil Supplements
220;Aluminum;969.56;65;15-050 - Basic Mechanical Materials and Methods
221;Glass;499.98;71;12-600 - Multiple Seating
222;Rubber;675.54;5;8-050 - Basic Door and Window Materials and Methods
223;Stone;282.22;23;5-800 - Expansion Control
224;Rubber;125.32;86;8-400 - Entrances and Storefronts
225;Brass;823.96;5;1-760 - Protecting Installed Construction
226;Glass;75.45;37;1-511 - Temporary Electricity
227;Vinyl;995.43;28;10-450 - Pedestrian Control Devices
228;Glass;599.34;80;12-300 - Manufactured Casework
229;Plastic;849.19;80;9-050 - Basic Finish Materials and Methods
230;Vinyl;414.05;85;11-010 - Maintenance Equipment
231;Stone;885.20;97;10-550 - Postal Specialties
232;Aluminum;185.41;22;2 - Site Construction
233;Steel;453.87;43;11-600 - Laboratory Equipment
234;Plexiglass;616.49;93;11 - Equipment
235;Brass;825.35;2;13-100 - Lightning Protection
236;Granite;797.34;42;13-230 - Digester Covers and Appurtenances
237;Plexiglass;671.49;26;8-500 - Windows
238;Stone;332.96;73;1-002 - Instructions
239;Wood;217.37;64;7-800 - Fire and Smoke Protection
240;Granite;855.01;46;2-850 - Bridges/Footbridges
241;Granite;925.89;41;2-316 - Backfilling
242;Brass;232.89;96;"11-480 - Athletic; Recreational; and Therapeutic Equipment"
243;Granite;454.47;51;9-700 - Wall Finishes
244;Granite;61.29;11;3-050 - Concrete Subcontractor
245;Rubber;256.50;34;12-100 - Art
246;Rubber;576.35;77;11-090 - Checkroom Equipment
247;Stone;591.04;44;1 - General Requirements
248;Brass;832.22;46;13-110 - Cathodic Protection
249;Granite;145.56;82;3-210 - Cast-In-Place Concrete
250;Aluminum;12.32;85;13 - Special Construction
251;Stone;498.70;67;11-130 - Audio-Visual Equipment
252;Rubber;633.54;79;12-500 - Furniture
253;Glass;782.89;65;16-300 - Transmission and Distribution
254;Stone;823.93;90;"13-080 - Sound; Vibration; and Seismic Control"
255;Plexiglass;455.53;84;11-460 - Unit Kitchens
256;Vinyl;34.78;15;10 - Specialties
257;Brass;472.80;24;11-100 - Mercantile Equipment
258;Steel;869.54;82;7 - Thermal and Moisture Protection
259;Vinyl;185.60;5;15-800 - Air Distribution
260;Granite;297.59;91;13-800 - Building Automation and Control
261;Stone;875.04;34;11-050 - Library Equipment
262;Wood;404.64;58;4-200 - Masonry Units
263;Plastic;313.28;21;13-110 - Cathodic Protection
264;Rubber;768.63;26;11-870 - Agricultural Equipment
265;Stone;451.85;96;16-400 - Low-Voltage Distribution
266;Glass;662.66;89;4-600 - Corrosion-Resistant Masonry
267;Plexiglass;85.43;97;16-700 - Communications
268;Rubber;512.95;73;3-400 - Precast Concrete
269;Vinyl;568.40;88;13 - Special Construction
270;Rubber;622.21;44;11-130 - Audio-Visual Equipment
271;Vinyl;820.86;42;1-517 - Temporary Telephone
272;Wood;451.31;58;2-930 - Exterior Plants
273;Glass;853.31;90;11-030 - Teller and Service Equipment
274;Steel;829.91;90;12-400 - Furnishings and Accessories
275;Plastic;993.60;100;1-000 - Purpose
276;Rubber;702.15;81;"7-300 - Shingles; Roof Tiles; and Roof Coverings"
277;Glass;505.31;85;12-600 - Multiple Seating
278;Brass;584.07;47;10-520 - Fire Protection Specialties
279;Plexiglass;264.92;92;1-011 - Project Engineer
280;Steel;375.98;10;2-932 - PLants and Bulbs
281;Steel;111.38;85;3-000 - General
282;Glass;42.82;70;2-000 - General
283;Plastic;662.21;45;13-230 - Digester Covers and Appurtenances
284;Granite;582.12;2;1-740 - Cleaning
285;Steel;167.82;95;13-900 - Fire Suppression
286;Rubber;417.89;37;2-800 - Site Amenities
287;Plastic;485.44;35;13-175 - Ice Rinks
288;Aluminum;906.39;73;2-830 - Retaining Walls
289;Steel;343.75;62;5-600 - Hydraulic Fabrications
290;Steel;600.63;68;10-900 - Wardrobe and Closet Specialties
291;Brass;861.24;59;7-200 - Thermal Protection - Insulation
292;Granite;270.11;95;1-560 - Temporary Barriers and Enclosures
293;Stone;132.93;50;14-300 - Escalators and Moving Walks
294;Wood;313.82;24;11-850 - Navigation Equipment
295;Plastic;278.19;5;15 - Mechanical
296;Wood;639.19;66;1-640 - Owner Furnished Products
297;Rubber;31.77;90;2-317 - Select Borrow
298;Plastic;960.64;32;13-030 - Special Purpose Rooms
299;Rubber;489.99;80;7-600 - Flashing and Sheet Metal
300;Aluminum;832.11;77;11-280 - Hydraulic Gates and Valves
301;Steel;135.59;49;11-030 - Teller and Service Equipment
302;Plexiglass;12.93;37;13-110 - Cathodic Protection
303;Brass;733.18;7;2-362 - Termite Control
304;Brass;470.82;62;9 - Finishes
305;Granite;259.30;24;17-020 - Insurance
306;Plexiglass;626.05;23;11-700 - Medical Equipment
307;Wood;176.54;27;7-900 - Joint Sealers
308;Brass;991.41;54;2-870 - Sculpture/Ornamental
309;Plexiglass;467.60;8;5-600 - Hydraulic Fabrications
310;Granite;473.19;42;2-823 - PVC Fences and Gates
311;Granite;650.88;30;17-010 - Contingency
312;Plexiglass;395.37;60;9-900 - Paints and Coatings
313;Granite;686.55;23;11-040 - Ecclesiastical Equipment
314;Aluminum;97.22;1;16-400 - Low-Voltage Distribution
315;Wood;786.13;19;1-520 - Construction Facilities
316;Aluminum;779.84;95;2-935 - Plant Maintenance
317;Plexiglass;560.91;87;3-350 - Concrete Finishing
318;Brass;958.11;55;13 - Special Construction
319;Brass;660.43;36;1-560 - Temporary Barriers and Enclosures
320;Wood;330.06;40;2-770 - Curb and Gutters
321;Vinyl;222.09;23;13-220 - Filter Underdrains and Media
322;Plastic;820.28;84;2-230 - Site Clearing
323;Wood;473.09;74;2-250 - Shoring and Underpinning
324;Glass;629.03;79;13-160 - Aquariums
325;Vinyl;445.10;86;2-362 - Termite Control
326;Aluminum;402.28;68;5-800 - Expansion Control
327;Aluminum;132.05;18;11-280 - Hydraulic Gates and Valves
328;Wood;886.64;41;9-680 - Carpet
329;Plexiglass;291.55;85;1-523 - Sanitary Facilities
330;Wood;793.00;43;15-500 - Heat-Generation Equipment
331;Glass;230.52;29;1-760 - Protecting Installed Construction
332;Rubber;139.19;18;7-700 - Roof Specialties and Accessories
333;Plexiglass;550.87;99;15-100 - Plumbing
334;Plastic;527.87;94;3-600 - Grouts
335;Steel;362.95;98;10-450 - Pedestrian Control Devices
336;Glass;328.35;25;13-020 - Building Modules
337;Stone;636.29;98;5-200 - Metal Joists
338;Stone;753.77;1;3-310 - Expansion Joints
339;Aluminum;390.10;32;11-280 - Hydraulic Gates and Valves
340;Brass;365.43;72;16-050 - Basic Electrical Materials and Methods
341;Glass;363.80;28;2-800 - Site Amenities
342;Glass;273.35;24;2-781 - Asphalt Pavers
343;Brass;241.74;96;3-100 - Concrete Reinforcement
344;Wood;632.38;98;1-520 - Construction Facilities
345;Rubber;932.88;5;6-100 - Rough Carpentry
346;Wood;206.48;79;6-900 - Wood and Plastic Restoration and Cleaning
347;Plexiglass;715.64;33;2-782 - Brick Pavers
348;Brass;20.99;1;2-820 - Fences and Gates
349;Granite;578.75;81;3-210 - Cast-In-Place Concrete
350;Steel;66.04;26;1-518 - Temporary Water
351;Stone;334.82;7;3-330 - Poured Concrete Basement Walls
352;Stone;36.75;19;10 - Specialties
353;Brass;281.68;84;10-400 - Identification Devices
354;Vinyl;967.23;76;5-050 - Basic Metal Materials and Methods
355;Stone;974.24;93;10-260 - Wall and Corner Guards
356;Rubber;690.60;85;14-200 - Elevators
357;Stone;199.01;81;10-340 - Manufactured Exterior Specialties
358;Wood;972.05;61;1-012 - Superintendent
359;Aluminum;278.49;76;11-780 - Mortuary Equipment
360;Steel;644.36;44;1-540 - Construction Aids
361;Wood;488.14;99;13-170 - Tubs and Pools
362;Brass;479.99;71;1-010 - Project Manager
363;Wood;225.68;86;1-530 - Temporary Construction
364;Wood;578.54;95;13-200 - Storage Tanks
365;Granite;793.05;58;11-600 - Laboratory Equipment
366;Rubber;799.83;61;12-800 - Interior Plants and Planters
367;Aluminum;405.72;13;14-200 - Elevators
368;Stone;184.15;67;3-350 - Concrete Finishing
369;Stone;367.80;47;2-230 - Site Clearing
370;Vinyl;763.04;44;11-700 - Medical Equipment
371;Plexiglass;985.18;56;1-511 - Temporary Electricity
372;Stone;624.26;79;2-821 - Chain Link Fences
373;Steel;638.52;55;9-600 - Flooring
374;Aluminum;57.00;5;17 - Markup and Contingency
375;Rubber;620.03;40;17-040 - Profit
376;Rubber;560.93;26;3-050 - Concrete Subcontractor
377;Wood;657.19;90;4-800 - Masonry Assemblies
378;Granite;451.48;84;1-013 - Project Coordinator
379;Plexiglass;498.70;29;6-100 - Rough Carpentry
380;Rubber;344.68;24;1-712 - Local Conditions
381;Granite;142.87;8;16-200 - Electrical Power
382;Brass;983.61;39;9 - Finishes
383;Wood;543.28;25;12-400 - Furnishings and Accessories
384;Aluminum;642.89;85;10-530 - Protective Covers
385;Plexiglass;343.58;66;8-600 - Skylights
386;Granite;760.63;9;10-550 - Postal Specialties
387;Granite;485.82;36;14-900 - Transportation
388;Stone;949.83;42;3-540 - Cementitious Underlayments
389;Plastic;897.40;63;5-500 - Metal Fabrications
390;Granite;144.18;77;7-700 - Roof Specialties and Accessories
391;Wood;42.56;9;5-900 - Metal Restoration and Cleaning
392;Stone;502.98;56;6-050 - Basic Wood and Plastic Materials and Methods
393;Plastic;338.71;67;13-120 - Pre-Engineered Structures
394;Vinyl;134.88;68;12-100 - Art
395;Rubber;47.28;96;11-470 - Darkroom Equipment
396;Plexiglass;512.90;80;9 - Finishes
397;Plexiglass;52.73;19;11-010 - Maintenance Equipment
398;Brass;515.65;69;11-870 - Agricultural Equipment
399;Rubber;594.44;3;4-500 - Refractories
400;Plastic;513.38;14;5-100 - Structural Metals
401;Vinyl;100.75;51;3-300 - Footings
402;Granite;8.88;72;15-600 - Refrigeration Equipment
403;Rubber;503.34;3;2-915 - Mulch
404;Granite;269.03;63;3-330 - Poured Concrete Basement Walls
405;Glass;752.81;51;14-100 - Dumbwaiters
406;Plastic;199.67;28;13-800 - Building Automation and Control
407;Plexiglass;79.95;22;9-250 - Gypsum Wallboard
408;Rubber;880.01;33;1-630 - Product Substitution Procedures
409;Glass;533.88;35;9-600 - Flooring
410;Plastic;816.70;10;9-800 - Acoustical Treatment
411;Brass;573.33;63;14-700 - Turntables
412;Stone;642.68;68;2-311 - Final Grading
413;Granite;663.46;40;11-400 - Food Service Equipment
414;Plexiglass;734.85;1;9-800 - Acoustical Treatment
415;Rubber;572.12;80;2-935 - Plant Maintenance
416;Glass;722.97;74;11-030 - Teller and Service Equipment
417;Plexiglass;685.61;34;11-660 - Observatory Equipment
418;Stone;332.83;89;1-540 - Construction Aids
419;Brass;243.19;37;17 - Markup and Contingency
420;Stone;720.54;67;1-011 - Project Engineer
421;Aluminum;378.82;16;2-823 - PVC Fences and Gates
422;Vinyl;116.47;62;2-310 - Grading
423;Wood;104.60;25;2-362 - Termite Control
424;Rubber;902.67;70;11-050 - Library Equipment
425;Plastic;891.50;24;10-600 - Partitions
426;Vinyl;395.51;71;2-932 - PLants and Bulbs
427;Vinyl;700.15;76;15-300 - Fire Protection Piping
428;Plastic;675.42;8;8-700 - Hardware
429;Aluminum;446.58;5;11-500 - Industrial and Process Equipment
430;Granite;385.73;45;1-640 - Owner Furnished Products
431;Vinyl;78.60;77;1-002 - Instructions
432;Plastic;106.63;98;2-250 - Shoring and Underpinning
433;Wood;8.79;39;8-200 - Wood and Plastic Doors
434;Brass;997.43;54;2-310 - Grading
435;Granite;750.14;80;8 - Doors and Windows
436;Steel;273.64;42;2-200 - Site Preparation
437;Vinyl;183.25;9;2-936 - Fertilizer
438;Plexiglass;360.85;6;1-560 - Temporary Barriers and Enclosures
439;Plastic;735.25;68;3-330 - Poured Concrete Basement Walls
440;Aluminum;295.81;75;12-600 - Multiple Seating
441;Steel;927.34;17;8-200 - Wood and Plastic Doors
442;Vinyl;347.77;69;4-900 - Masonry Restoration and Cleaning
443;Aluminum;982.67;67;13-550 - Transportation Control Instrumentation
444;Granite;904.36;58;14-800 - Scaffolding
445;Plastic;636.80;87;11-030 - Teller and Service Equipment
446;Plastic;57.27;63;2-870 - Sculpture/Ornamental
447;Plastic;724.12;100;13-240 - Oxygenation Systems
448;Stone;488.09;30;8-300 - Specialty Doors
449;Rubber;827.15;24;2-230 - Site Clearing
450;Aluminum;995.20;95;15 - Mechanical
451;Granite;625.11;1;9-050 - Basic Finish Materials and Methods
452;Vinyl;900.58;39;12 - Furnishings
453;Plexiglass;312.03;48;10-400 - Identification Devices
454;Rubber;545.77;38;1-012 - Superintendent
455;Plastic;740.29;13;10-240 - Grilles and Screens
456;Aluminum;396.40;85;"10-800 - Toilet; Bath; and Laundry Specialties"
457;Rubber;616.75;36;1-740 - Cleaning
458;Glass;660.38;73;11-030 - Teller and Service Equipment
459;Brass;525.25;23;"13-080 - Sound; Vibration; and Seismic Control"
460;Glass;799.22;78;1-518 - Temporary Water
461;Vinyl;554.44;18;11-660 - Observatory Equipment
462;Stone;274.44;56;6-200 - Finish Carpentry
463;Granite;510.59;48;13-280 - Hazardous Material Remediation
464;Granite;726.64;38;1-570 - Temporary Controls
465;Granite;854.63;30;9-500 - Ceilings
466;Rubber;199.62;96;10-400 - Identification Devices
467;Plexiglass;311.56;61;2-870 - Sculpture/Ornamental
468;Plexiglass;816.79;94;"11-480 - Athletic; Recreational; and Therapeutic Equipment"
469;Vinyl;612.00;5;11-120 - Vending Equipment
470;Stone;502.94;2;4-700 - Simulated Masonry
471;Plastic;769.23;84;14-800 - Scaffolding
472;Aluminum;758.28;32;15-500 - Heat-Generation Equipment
473;Aluminum;67.88;46;2-815 - Fountains
474;Brass;617.03;2;11-460 - Unit Kitchens
475;Glass;147.15;67;3-100 - Concrete Reinforcement
476;Rubber;829.53;7;2-795 - Porous Paving
477;Stone;373.88;60;6-100 - Rough Carpentry
478;Wood;436.44;24;14-700 - Turntables
479;Wood;358.76;98;2-540 - Septic Tank
480;Plexiglass;889.50;32;2-370 - Erosion and Sedimentation Control
481;Plexiglass;446.36;18;1-010 - Project Manager
482;Rubber;18.13;12;13-120 - Pre-Engineered Structures
483;Glass;279.27;77;13-100 - Lightning Protection
484;Glass;328.89;36;3-540 - Cementitious Underlayments
485;Plexiglass;349.35;77;15 - Mechanical
486;Plastic;732.51;51;1-903 - Hazardous Materials Abatement
487;Granite;855.57;91;1-542 - Construction Scaffolding and Platforms
488;Plastic;429.23;16;2-783 - Interlocking Concrete Unit Paving
489;Rubber;188.42;50;16-200 - Electrical Power
490;Granite;783.60;88;3-330 - Poured Concrete Basement Walls
491;Wood;555.04;32;10-340 - Manufactured Exterior Specialties
492;Stone;753.36;80;6 - Wood and Plastics
493;Steel;482.45;98;10-350 - Flagpoles
494;Steel;215.19;41;8-600 - Skylights
495;Wood;148.41;71;11-130 - Audio-Visual Equipment
496;Vinyl;842.21;61;7-200 - Thermal Protection - Insulation
497;Brass;491.12;38;3-310 - Expansion Joints
498;Steel;317.22;92;13-700 - Security Access and Surveillance
499;Rubber;854.23;8;5-500 - Metal Fabrications
500;Plastic;331.24;51;5-050 - Basic Metal Materials and Methods
501;Plexiglass;139.99;36;15-300 - Fire Protection Piping
502;Wood;67.05;16;11-280 - Hydraulic Gates and Valves
503;Stone;767.25;100;1-580 - Project Identification
504;Aluminum;685.28;12;2-850 - Bridges/Footbridges
505;Rubber;302.19;89;1-520 - Construction Facilities
506;Plexiglass;843.09;40;11-780 - Mortuary Equipment
507;Granite;214.18;7;1-580 - Project Identification
508;Wood;637.51;52;11-090 - Checkroom Equipment
509;Wood;618.38;71;12-500 - Furniture
510;Steel;354.74;43;4-700 - Simulated Masonry
511;Plastic;625.95;18;"1-514 - Temporary Heating; Cooling and Ventilation"
